key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_[110.0__0__29.0__0__0__0],"[110.0, 0, 29.0, 0, 0, 0]",4.551341163332774e-14,7.752530570889219e-18,8.373449332325734e-15,3.82368496575426e-16,7.752530570889219e-18,4.2965150622014723e-14,3.287227275097092e-16,3.282331423278016e-15,8.373449332325734e-15,3.287227275097092e-16,9.784614022364491e-14,3.719144743690831e-14,3.82368496575426e-16,3.282331423278016e-15,3.719144743690831e-14,1.0038198472020713e-13
clockmon_[110.0__0__38.0__0__0__0],"[110.0, 0, 38.0, 0, 0, 0]",4.5506289691451855e-14,8.276194971466878e-18,8.373113122694122e-15,3.822052005203549e-16,8.276194971466878e-18,4.3784261990970206e-14,3.573837985196694e-16,3.770578171676142e-15,8.373113122694122e-15,3.573837985196694e-16,9.782768664225985e-14,3.717709792324528e-14,3.822052005203549e-16,3.770578171676142e-15,3.717709792324528e-14,1.0010820894819874e-13
clockmon_[110.0__0__47.0__0__0__0],"[110.0, 0, 47.0, 0, 0, 0]",4.55082942251539e-14,8.740561803657032e-18,8.373334703208255e-15,3.819748685895271e-16,8.740561803657032e-18,4.466337274508457e-14,3.871089845663592e-16,4.264264806717906e-15,8.373334703208255e-15,3.871089845663592e-16,9.780255659817057e-14,3.716744131990375e-14,3.819748685895271e-16,4.264264806717906e-15,3.716744131990375e-14,9.982641394397514e-14
clockmon_[110.0__0__56.0__0__0__0],"[110.0, 0, 56.0, 0, 0, 0]",4.549849097854974e-14,9.265105780341684e-18,8.372555684340294e-15,3.817710728200227e-16,9.265105780341684e-18,4.555165515131762e-14,4.174573653443377e-16,4.749875568098721e-15,8.372555684340294e-15,4.174573653443377e-16,9.778092449155816e-14,3.715409740602771e-14,3.817710728200227e-16,4.749875568098721e-15,3.715409740602771e-14,9.954397661146254e-14
clockmon_[110.0__0__65.0__0__0__0],"[110.0, 0, 65.0, 0, 0, 0]",4.549719058587273e-14,9.85518559034807e-18,8.372616660040239e-15,3.816213121975941e-16,9.85518559034807e-18,4.647822670954644e-14,4.48338963706493e-16,5.229623717364417e-15,8.372616660040239e-15,4.48338963706493e-16,9.776891104146142e-14,3.7141479678397854e-14,3.816213121975941e-16,5.229623717364417e-15,3.7141479678397854e-14,9.926531080164574e-14
clockmon_[110.0__0__74.0__0__0__0],"[110.0, 0, 74.0, 0, 0, 0]",4.547385785031921e-14,1.038508126303364e-17,8.372917872432888e-15,3.81454705104491e-16,1.038508126303364e-17,4.7413951802754777e-14,4.800391264112735e-16,5.708282689578724e-15,8.372917872432888e-15,4.800391264112735e-16,9.775417113656391e-14,3.713189307860502e-14,3.81454705104491e-16,5.708282689578724e-15,3.713189307860502e-14,9.899008977564966e-14
clockmon_[110.0__0__83.0__0__0__0],"[110.0, 0, 83.0, 0, 0, 0]",4.546705842041891e-14,1.092569224478654e-17,8.372214386315258e-15,3.812150442478001e-16,1.092569224478654e-17,4.835080016563234e-14,5.135405364354746e-16,6.185696729112302e-15,8.372214386315258e-15,5.135405364354746e-16,9.773222759696479e-14,3.712089387440847e-14,3.812150442478001e-16,6.185696729112302e-15,3.712089387440847e-14,9.870985358103502e-14
clockmon_[110.0__0__92.0__0__0__0],"[110.0, 0, 92.0, 0, 0, 0]",4.549381872399594e-14,1.149218865740272e-17,8.373408400014698e-15,3.810433181468726e-16,1.149218865740272e-17,4.93381410067243e-14,5.489957771629243e-16,6.655261253114477e-15,8.373408400014698e-15,5.489957771629243e-16,9.771766508953138e-14,3.71091636651633e-14,3.810433181468726e-16,6.655261253114477e-15,3.71091636651633e-14,9.843676861498115e-14
clockmon_[119.0__0__101.0__0__0__0],"[119.0, 0, 101.0, 0, 0, 0]",4.5855556658380527e-14,1.254520855812992e-17,8.842153645663839e-15,3.984182753783449e-16,1.254520855812992e-17,5.005707765179031e-14,5.854284347885163e-16,7.11425884300426e-15,8.842153645663839e-15,5.854284347885163e-16,9.737762181327854e-14,3.706276378454311e-14,3.984182753783449e-16,7.11425884300426e-15,3.706276378454311e-14,9.813544477203329e-14
clockmon_[119.0__0__110.0__0__0__0],"[119.0, 0, 110.0, 0, 0, 0]",4.609919303059312e-14,1.325839059845131e-17,8.853228485288225e-15,3.983441706539191e-16,1.325839059845131e-17,5.125029880614759e-14,6.254207935696746e-16,7.582479828607826e-15,8.853228485288225e-15,6.254207935696746e-16,9.742106368075459e-14,3.70750832178898e-14,3.983441706539191e-16,7.582479828607826e-15,3.70750832178898e-14,9.787409989597877e-14
