key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_sensing_160.0_0_0_300.0_0_0,"[160.0, 0, 0, 300.0, 0, 0]",4.851032981769273e-14,2.037767297335381e-17,1.121064236355026e-14,4.05843515594972e-16,2.037767297335381e-17,5.807714835626622e-14,6.336281631161161e-16,1.869842774192674e-14,1.121064236355026e-14,6.336281631161161e-16,1.1110076232648888e-13,4.009136130346673e-14,4.05843515594972e-16,1.869842774192674e-14,4.009136130346673e-14,1.0724732501142545e-13
clockmon_sensing_160.0_0_0_48.0_0_0,"[160.0, 0, 0, 48.0, 0, 0]",4.8522943209945685e-14,7.407413969287111e-18,1.120735412071383e-14,4.11167995132138e-16,7.407413969287111e-18,4.1303268216391674e-14,2.241352398843266e-16,5.113234468073444e-15,1.120735412071383e-14,2.241352398843266e-16,1.112441472651558e-13,4.025018770016416e-14,4.11167995132138e-16,5.113234468073444e-15,4.025018770016416e-14,1.1428396397023895e-13
clockmon_sensing_160.0_0_0_76.0_0_0,"[160.0, 0, 0, 76.0, 0, 0]",4.8538370428165216e-14,8.908384837352212e-18,1.120825279220667e-14,4.106223652565048e-16,8.908384837352212e-18,4.303352408259919e-14,2.7028916186075e-16,6.637817260264616e-15,1.120825279220667e-14,2.7028916186075e-16,1.1122563908215185e-13,4.022952848318433e-14,4.106223652565048e-16,6.637817260264616e-15,4.022952848318433e-14,1.1352401846313645e-13
clockmon_sensing_188.0_0_0_104.0_0_0,"[188.0, 0, 0, 104.0, 0, 0]",5.041462273932205e-14,1.149459832708233e-17,1.2726100882943711e-14,4.558949852396419e-16,1.149459832708233e-17,4.482490579668674e-14,3.160363904554242e-16,8.161517783704939e-15,1.2726100882943711e-14,3.160363904554242e-16,1.104076856910377e-13,4.018837448230346e-14,4.558949852396419e-16,8.161517783704939e-15,4.018837448230346e-14,1.1271389581253607e-13
clockmon_sensing_188.0_0_0_132.0_0_0,"[188.0, 0, 0, 132.0, 0, 0]",5.0410052293320554e-14,1.307608028714292e-17,1.272609644813328e-14,4.553611994719102e-16,1.307608028714292e-17,4.6642686097238687e-14,3.619712376747019e-16,9.68215472716114e-15,1.272609644813328e-14,3.619712376747019e-16,1.1038017914732682e-13,4.0168079066710704e-14,4.553611994719102e-16,9.68215472716114e-15,4.0168079066710704e-14,1.1194083925141715e-13
clockmon_sensing_188.0_0_0_160.0_0_0,"[188.0, 0, 0, 160.0, 0, 0]",5.041236650488551e-14,1.468558063783979e-17,1.272577107848197e-14,4.545893917882296e-16,1.468558063783979e-17,4.8513185527507325e-14,4.080104569405065e-16,1.120548256960163e-14,1.272577107848197e-14,4.080104569405065e-16,1.1035392044770641e-13,4.014936946648242e-14,4.545893917882296e-16,1.120548256960163e-14,4.014936946648242e-14,1.1114785169058663e-13
clockmon_sensing_188.0_0_0_188.0_0_0,"[188.0, 0, 0, 188.0, 0, 0]",5.0401218598331073e-14,1.630539711470036e-17,1.27289427560667e-14,4.540666789879518e-16,1.630539711470036e-17,5.037497970048678e-14,4.541446087163639e-16,1.272660834260392e-14,1.27289427560667e-14,4.541446087163639e-16,1.1041091828764593e-13,4.014973200335899e-14,4.540666789879518e-16,1.272660834260392e-14,4.014973200335899e-14,1.1043454860236634e-13
clockmon_sensing_188.0_0_0_20.0_0_0,"[188.0, 0, 0, 20.0, 0, 0]",5.0423474101204146e-14,6.684028270265918e-18,1.272631790184673e-14,4.581377732978322e-16,6.684028270265918e-18,3.977726074326699e-14,1.798618779938838e-16,3.611015067613276e-15,1.272631790184673e-14,1.798618779938838e-16,1.1048190025902028e-13,4.02541956634395e-14,4.581377732978322e-16,3.611015067613276e-15,4.02541956634395e-14,1.149931061553762e-13
clockmon_sensing_188.0_0_0_216.0_0_0,"[188.0, 0, 0, 216.0, 0, 0]",5.0389403285745685e-14,1.789384553321795e-17,1.272872638247498e-14,4.533342676395284e-16,1.789384553321795e-17,5.227173423500413e-14,4.996102017609523e-16,1.423742856613503e-14,1.272872638247498e-14,4.996102017609523e-16,1.1038387341594823e-13,4.012959724754935e-14,4.533342676395284e-16,1.423742856613503e-14,4.012959724754935e-14,1.0963195203132579e-13
clockmon_sensing_188.0_0_0_244.0_0_0,"[188.0, 0, 0, 244.0, 0, 0]",5.038731969232489e-14,1.947511389210288e-17,1.272512364475456e-14,4.525164575077699e-16,1.947511389210288e-17,5.417004239221585e-14,5.440573444426946e-16,1.572464178066073e-14,1.272512364475456e-14,5.440573444426946e-16,1.1026741460107204e-13,4.008646888003511e-14,4.525164575077699e-16,1.572464178066073e-14,4.008646888003511e-14,1.0873709591220588e-13
clockmon_sensing_188.0_0_0_272.0_0_0,"[188.0, 0, 0, 272.0, 0, 0]",5.0380000217917886e-14,2.103652785605969e-17,1.272483134232723e-14,4.517941140448814e-16,2.103652785605969e-17,5.6110277502934036e-14,5.883857618735291e-16,1.721377027495002e-14,1.272483134232723e-14,5.883857618735291e-16,1.1023916187731982e-13,4.006545782457173e-14,4.517941140448814e-16,1.721377027495002e-14,4.006545782457173e-14,1.0793189446786904e-13
clockmon_sensing_188.0_0_0_300.0_0_0,"[188.0, 0, 0, 300.0, 0, 0]",5.038186876948642e-14,2.260511743336114e-17,1.272841615775016e-14,4.513649733974308e-16,2.260511743336114e-17,5.807764042599557e-14,6.327099420744681e-16,1.869938972863443e-14,1.272841615775016e-14,6.327099420744681e-16,1.1030904939783269e-13,4.007174379951488e-14,4.513649733974308e-16,1.869938972863443e-14,4.007174379951488e-14,1.0722361062036277e-13
